place_id,cre_id,x,location/x,y,location/y,name
2077,PL/397/EXP/ES/2015,-109.2961,-109.2961,25.96616,25.96616,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V."
2078,PL/823/EXP/ES/2015,-99.36308,-99.36308,19.64046,19.64046,"Gasolinería Cid, S.A. de C.V."
2079,PL/627/EXP/ES/2015,-99.11606,-99.11606,19.74912,19.74912,"Gasolinería Perseo, S.A. de C.V."
2080,PL/408/EXP/ES/2015,-109.2856,-109.2856,25.9744,25.9744,MULTISERVICIOS LA PILARICA SA DE CV
2081,PL/580/EXP/ES/2015,-98.35571,-98.35571,26.06025,26.06025,"PETROMAX, S.A. DE C.V."
2082,PL/489/EXP/ES/2015,-100.1759,-100.1759,25.7805,25.7805,"PETROMAX, S.A. DE C.V."
2083,PL/465/EXP/ES/2015,-103.4519,-103.4519,20.73139,20.73139,"PETROMAX, S.A. DE C.V."
2084,PL/724/EXP/ES/2015,-102.3053,-102.3053,21.89668,21.89668,"SERVICIO AVENIDA, S.A. DE C.V."
2085,PL/829/EXP/ES/2015,-101.6677,-101.6677,21.09879,21.09879,"ESTACION DE SERVICIO LEON, S.DER.L. DE C.V."
2086,PL/584/EXP/ES/2015,-115.3865,-115.3865,32.63511,32.63511,"PETROMAX, S.A. DE C.V."
2087,PL/710/EXP/ES/2015,-116.7158,-116.7158,32.49946,32.49946,"ESTACION DE SERVICIO PITS, S. DE R.L. DE C.V."
2088,PL/858/EXP/ES/2015,-106.3973,-106.3973,31.5649,31.5649,GRUPO GOCALVI SA DE CV
2089,PL/690/EXP/ES/2015,-104.288,-104.288,19.07791,19.07791,"Socombumex, S.A. de C.V."
2090,PL/699/EXP/ES/2015,-98.99508,-98.99508,19.60755,19.60755,"Gasolinería Segovia, S.A. de C.V."
2091,PL/786/EXP/ES/2015,-116.5917,-116.5917,31.7838,31.7838,SERVICIO LOS OLIVOS S.A. DE C.V.(E4394)
2092,PL/402/EXP/ES/2015,-108.9855,-108.9855,25.80147,25.80147,MULTISERVICIOS LA PILARICA SA DE CV
2093,PL/405/EXP/ES/2015,-100.9704,-100.9704,19.79169,19.79169,"GRUPO OCTANO, S.A. DE C.V."
2094,PL/590/EXP/ES/2015,-100.2963,-100.2963,25.82625,25.82625,"PETROMAX, S.A. DE C.V."
2095,PL/417/EXP/ES/2015,-104.8868,-104.8868,21.52222,21.52222,"GRUPO OCTANO, S.A. DE C.V."
2096,PL/820/EXP/ES/2015,-99.10838,-99.10838,19.67871,19.67871,"Inmobiliaria Corredor Tultitlán, S.A. de C.V."
2097,PL/601/EXP/ES/2015,-115.4722,-115.4722,32.60843,32.60843,"PETROMAX, S.A. DE C.V."
2098,PL/553/EXP/ES/2015,-99.10677,-99.10677,19.63609,19.63609,"PETROMAX, S.A. DE C.V."
2099,PL/373/EXP/ES/2015,-104.8489,-104.8489,21.47011,21.47011,"GRUPO OCTANO, S.A. DE C.V."
2100,PL/451/EXP/ES/2015,-100.2104,-100.2104,25.73217,25.73217,"PETROMAX, S.A. DE C.V."
2101,PL/892/EXP/ES/2015,-103.7721,-103.7721,19.14014,19.14014,"CRUCERO LAS GOLONDRINAS,SA DE CV"
2102,PL/707/EXP/ES/2015,-116.953,-116.953,32.49127,32.49127,Becktrop Operadora SA de CV
2103,PL/594/EXP/ES/2015,-100.1302,-100.1302,25.70155,25.70155,"PETROMAX, S.A. DE C.V."
2104,PL/660/EXP/ES/2015,-116.9663,-116.9663,32.51104,32.51104,"ESTACION RAEL, S. DE R.L. DE C.V."
2105,PL/365/EXP/ES/2015,-105.2828,-105.2828,21.54249,21.54249,"GRUPO OCTANO, S.A. DE C.V."
2106,PL/845/EXP/ES/2015,-102.2924,-102.2924,21.91625,21.91625,ESTACION DE SERVICIO AUTOMOTRIZ DEL NORTE SA DE CV
2107,PL/685/EXP/ES/2015,-100.9351,-100.9351,29.30929,29.30929,"SERVICIO CIBOLA, S.A. DE C.V."
2108,PL/577/EXP/ES/2015,-103.3228,-103.3228,25.53419,25.53419,"PETROMAX, S.A. DE C.V."
2109,PL/655/EXP/ES/2015,-102.4106,-102.4106,22.14957,22.14957,MULTISERVICIOS SIGAS S.A. DE C.V.
2110,PL/374/EXP/ES/2015,-109.0138,-109.0138,25.73669,25.73669,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V."
2111,PL/592/EXP/ES/2015,-98.38633,-98.38633,26.04917,26.04917,"PETROMAX, S.A. DE C.V."
2112,PL/879/EXP/ES/2015,-99.25086,-99.25086,19.55827,19.55827,"Servicio Vega Atizapan, S.A. de C.V."
2113,PL/686/EXP/ES/2015,-116.977,-116.977,32.50455,32.50455,"ESTACION RAEL, S. DE R.L. DE C.V."
2114,PL/571/EXP/ES/2015,-100.1915,-100.1915,25.72328,25.72328,"PETROMAX, S.A. DE C.V."
2115,PL/812/EXP/ES/2015,-100.941,-100.941,25.52635,25.52635,"ESTACION RAMOS, S.A. DE C.V."
2116,PL/477/EXP/ES/2015,-97.53786,-97.53786,25.85833,25.85833,"PETROMAX, S.A. DE C.V."
2117,PL/841/EXP/ES/2015,-101.6691,-101.6691,21.12003,21.12003,"ESTACION DE SERVICIO LEON, S.DER.L. DE C.V."
2118,PL/497/EXP/ES/2015,-100.7924,-100.7924,19.90187,19.90187,"GRUPO OCTANO, S.A. DE C.V."
2119,PL/517/EXP/ES/2015,-100.1696,-100.1696,25.64484,25.64484,"PETROMAX, S.A. DE C.V."
2120,PL/833/EXP/ES/2015,-110.93,-110.93,31.27435,31.27435,"PETROLIFEROS LA TERRITORIAL, S. DE R.L. DE C.V."
2121,PL/427/EXP/ES/2015,-100.3682,-100.3682,25.67366,25.67366,"PETROMAX, S.A. DE C.V."
2122,PL/492/EXP/ES/2015,-100.1685,-100.1685,25.71746,25.71746,"PETROMAX, S.A. DE C.V."
2123,PL/774/EXP/ES/2015,-101.4349,-101.4349,20.94723,20.94723,SERVICIO DEL CENTRO HIDALGO SA DE CV
2124,PL/639/EXP/ES/2015,-117.0602,-117.0602,32.53289,32.53289,"SERV.EL TRIANGULO DEL REFUGIO,S.DER.L.DEC.V."
2125,PL/779/EXP/ES/2015,-101.4206,-101.4206,26.91485,26.91485,AMC COMBUSTIBLES Y LUBRICANTES S.A. DE C.V.
2126,PL/796/EXP/ES/2015,-100.5448,-100.5448,28.70405,28.70405,"SERVICIO RAMA, S.A. DE C.V."
2127,PL/448/EXP/ES/2015,-100.2944,-100.2944,25.81873,25.81873,"PETROMAX, S.A. DE C.V."
2128,PL/792/EXP/ES/2015,-116.917,-116.917,32.49886,32.49886,Servicio Ravello S.A de C.V.
2129,PL/849/EXP/ES/2015,-115.3992,-115.3992,32.63718,32.63718,"ESTACION RAEL, S. DE R.L. DE C.V."
2130,PL/490/EXP/ES/2015,-106.0694,-106.0694,28.65146,28.65146,"PETROMAX, S.A. DE C.V."
2131,PL/680/EXP/ES/2015,-117.1202,-117.1202,32.51353,32.51353,"INMOBILIARIA ANADECA, S.A. DE C.V."
2132,PL/413/EXP/ES/2015,-109.0028,-109.0028,25.81053,25.81053,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V."
2133,PL/766/EXP/ES/2015,-102.2631,-102.2631,21.89202,21.89202,MARA ESTACION DE SERVICIOS SA DE CV
2134,PL/617/EXP/ES/2015,-104.8968,-104.8968,21.49442,21.49442,"GRUPO OCTANO, S.A. DE C.V."
2135,PL/713/EXP/ES/2015,-99.12276,-99.12276,23.82137,23.82137,SERVICIO OROZCO SA DE CV
2136,PL/770/EXP/ES/2015,-103.7087,-103.7087,19.25796,19.25796,Servicio Puerta de Hierro S.A. de C.V.
2137,PL/835/EXP/ES/2015,-99.02091,-99.02091,19.57863,19.57863,"Gasolinería Real Madeira, S.A. de C.V."
2138,PL/476/EXP/ES/2015,-100.9133,-100.9133,25.43487,25.43487,"PETROMAX, S.A. DE C.V."
2139,PL/483/EXP/ES/2015,-98.31638,-98.31638,26.06835,26.06835,"PETROMAX, S.A. DE C.V."
2140,PL/630/EXP/ES/2015,-99.13939,-99.13939,19.71715,19.71715,"Inmobiliaria Socor, S.A. de C.V."
2141,PL/394/EXP/ES/2015,-115.5029,-115.5029,32.59509,32.59509,GRUPO EMPRESARIAL CACHANILLA SA DE CV
2142,PL/632/EXP/ES/2015,-99.2491,-99.2491,19.53231,19.53231,"Gasolinería Itálica, S.A. de C.V."
2143,PL/853/EXP/ES/2015,-99.21558,-99.21558,18.90457,18.90457,"Super Servicio Cumbre, S.A. de C.V."
2144,PL/893/EXP/ES/2015,-100.9016,-100.9016,21.16531,21.16531,ESTACIONES DE SERVICIO CAMINOS DE GUANAJUATO SA CV
2145,PL/519/EXP/ES/2015,-100.995,-100.995,25.47064,25.47064,"PETROMAX, S.A. DE C.V."
2146,PL/523/EXP/ES/2015,-100.3883,-100.3883,25.77217,25.77217,"PETROMAX, S.A. DE C.V."
2147,PL/563/EXP/ES/2015,-100.2403,-100.2403,25.71573,25.71573,"PETROMAX, S.A. DE C.V."
2148,PL/464/EXP/ES/2015,-100.0302,-100.0302,25.28464,25.28464,"PETROMAX, S.A. DE C.V."
2149,PL/834/EXP/ES/2015,-110.9418,-110.9418,31.28525,31.28525,"PETROLIFEROS LA TERRITORIAL, S. DE R.L. DE C.V."
2150,PL/467/EXP/ES/2015,-98.39253,-98.39253,26.04565,26.04565,"PETROMAX, S.A. DE C.V."
2151,PL/485/EXP/ES/2015,-100.9813,-100.9813,25.48239,25.48239,"PETROMAX, S.A. DE C.V."
2152,PL/494/EXP/ES/2015,-100.2887,-100.2887,25.71853,25.71853,"PETROMAX, S.A. DE C.V."
2153,PL/695/EXP/ES/2015,-99.08196,-99.08196,19.37504,19.37504,"Inmobiliaria RAVS, S.A. de C.V."
2154,PL/725/EXP/ES/2015,-93.56612,-93.56612,17.18763,17.18763,GASOLINA Y LUBRICANTES MALPASO SA DE CV
2155,PL/678/EXP/ES/2015,-117.0082,-117.0082,32.52866,32.52866,"SERVICIO EFIGAS, S. DE R.L. DE C.V."
2156,PL/727/EXP/ES/2015,-104.3236,-104.3236,19.11446,19.11446,SERVICIOS ENERGETICOS DEL PACIFICO SA DE CV
2157,PL/821/EXP/ES/2015,-99.19692,-99.19692,19.2289,19.2289,"Gasolinería México - Ajusco 1, S.A. de C.V."
2158,PL/421/EXP/ES/2015,-105.2224,-105.2224,20.65418,20.65418,"GRUPO OCTANO, S.A. DE C.V."
2159,PL/501/EXP/ES/2015,-101.1592,-101.1592,20.20225,20.20225,"GRUPO OCTANO, S.A. DE C.V."
2160,PL/383/EXP/ES/2015,-114.7834,-114.7834,32.47077,32.47077,GRUPO EMPRESARIAL CACHANILLA SA DE CV
2161,PL/559/EXP/ES/2015,-100.9898,-100.9898,25.38848,25.38848,"PETROMAX, S.A. DE C.V."
2162,PL/510/EXP/ES/2015,-103.4574,-103.4574,25.55805,25.55805,"PETROMAX, S.A. DE C.V."
2163,PL/719/EXP/ES/2015,-99.26816,-99.26816,20.19257,20.19257,ESTACION DE SERVICIO TEZONTEPEC S.A. DE C.V.
2164,PL/729/EXP/ES/2015,-116.9314,-116.9314,32.48362,32.48362,"ESTACION RAEL, S. DE R.L. DE C.V."
2165,PL/664/EXP/ES/2015,-99.20078,-99.20078,18.91205,18.91205,"Estación de Servicio Cordoba, S.A. de C.V."
2166,PL/702/EXP/ES/2015,-117.0217,-117.0217,32.51695,32.51695,Becktrop Operadora SA de CV
2167,PL/378/EXP/ES/2015,-115.4283,-115.4283,32.60439,32.60439,GRUPO EMPRESARIAL CACHANILLA SA DE CV
2168,PL/847/EXP/ES/2015,-106.5244,-106.5244,31.77218,31.77218,GRUPO GOCALVI SA DE CV
2169,PL/419/EXP/ES/2015,-103.4172,-103.4172,20.64037,20.64037,"GRUPO OCTANO, S.A. DE C.V."
2170,PL/414/EXP/ES/2015,-101.0983,-101.0983,19.78714,19.78714,"GRUPO OCTANO, S.A. DE C.V."
2171,PL/870/EXP/ES/2015,-106.4938,-106.4938,31.72176,31.72176,GRUPO GOCALVI SA DE CV
2172,PL/805/EXP/ES/2015,-91.8837,-91.8837,18.64528,18.64528,"SERVICIO GENCAR, S.A. DE C.V."
2173,PL/393/EXP/ES/2015,-115.3589,-115.3589,32.55959,32.55959,GRUPO EMPRESARIAL CACHANILLA SA DE CV
2174,PL/384/EXP/ES/2015,-115.3366,-115.3366,32.56762,32.56762,GRUPO EMPRESARIAL CACHANILLA SA DE CV
2175,PL/622/EXP/ES/2015,-103.4968,-103.4968,25.59786,25.59786,"PETROMAX, S.A. DE C.V."
2176,PL/435/EXP/ES/2015,-99.23218,-99.23218,19.47735,19.47735,"PETROMAX, S.A. DE C.V."
2177,PL/466/EXP/ES/2015,-100.174,-100.174,25.73397,25.73397,"PETROMAX, S.A. DE C.V."
2178,PL/570/EXP/ES/2015,-100.273,-100.273,25.76927,25.76927,"PETROMAX, S.A. DE C.V."
2179,PL/755/EXP/ES/2015,-103.719,-103.719,19.24986,19.24986,GAS SANFER S. DE R.L. DE C.V.
2180,PL/769/EXP/ES/2015,-104.8626,-104.8626,21.49188,21.49188,"COMBU-EXPRESS, S.A. DE C.V."
2181,PL/450/EXP/ES/2015,-100.1586,-100.1586,25.78579,25.78579,"PETROMAX, S.A. DE C.V."
2182,PL/854/EXP/ES/2015,-99.0181,-99.0181,19.61462,19.61462,"Servicio Jacarandas, S.A. de C.V."
2183,PL/429/EXP/ES/2015,-98.29991,-98.29991,26.08213,26.08213,"PETROMAX, S.A. DE C.V."
2184,PL/534/EXP/ES/2015,-105.2258,-105.2258,20.69032,20.69032,"GRUPO OCTANO, S.A. DE C.V."
2185,PL/379/EXP/ES/2015,-109.0079,-109.0079,25.74504,25.74504,MULTISERVICIOS LA PILARICA SA DE CV
2186,PL/692/EXP/ES/2015,-99.07384,-99.07384,19.54896,19.54896,"Estación de Servicio Marbella, S.A. de C.V."
2187,PL/614/EXP/ES/2015,-98.33501,-98.33501,26.06836,26.06836,"PETROMAX, S.A. DE C.V."
2188,PL/648/EXP/ES/2015,-99.2403,-99.2403,19.62737,19.62737,"Gasolinería Ulises, S.A. de C.V."
2189,PL/852/EXP/ES/2015,-103.3994,-103.3994,25.59699,25.59699,"ARY SUPER SERVICIOS VI, SA DE CV"
2190,PL/574/EXP/ES/2015,-99.05198,-99.05198,19.54947,19.54947,"PETROMAX, S.A. DE C.V."
2191,PL/693/EXP/ES/2015,-97.85314,-97.85314,22.254,22.254,"Estación de Servicio Cuenca, S.A. de C.V."
2192,PL/859/EXP/ES/2015,-101.6542,-101.6542,21.15335,21.15335,"ESTACION DE SERVICIO LEON, S.DER.L. DE C.V."
2193,PL/757/EXP/ES/2015,-102.2435,-102.2435,21.87411,21.87411,DALROM S.A DE C.V.
2194,PL/555/EXP/ES/2015,-100.261,-100.261,25.79039,25.79039,"PETROMAX, S.A. DE C.V."
2195,PL/735/EXP/ES/2015,-92.60492,-92.60492,16.73734,16.73734,COMBUSTIBLES ARCOTETE S.A. DE C.V.
2196,PL/647/EXP/ES/2015,-99.08937,-99.08937,19.82526,19.82526,"Estación de Servicio la Rioja, S.A. de C.V."
2197,PL/771/EXP/ES/2015,-100.9147,-100.9147,25.44261,25.44261,servicio el toreo de saltillo sa de cv
2198,PL/514/EXP/ES/2015,-100.4822,-100.4822,25.67927,25.67927,"PETROMAX, S.A. DE C.V."
2199,PL/783/EXP/ES/2015,-100.8774,-100.8774,25.44026,25.44026,SERVICIO SIERRA DE ARTEAGA SA DE CV
2200,PL/761/EXP/ES/2015,-106.4253,-106.4253,31.7462,31.7462,"DIAZ GAS, S.A. DE C.V."
2201,PL/458/EXP/ES/2015,-100.1629,-100.1629,25.70878,25.70878,"PETROMAX, S.A. DE C.V."
2202,PL/888/EXP/ES/2015,-86.88126,-86.88126,21.15601,21.15601,ESTACION TALLERES S.A. DE C.V.
2203,PL/564/EXP/ES/2015,-100.3628,-100.3628,25.71314,25.71314,"PETROMAX, S.A. DE C.V."
2204,PL/520/EXP/ES/2015,-100.2664,-100.2664,25.66576,25.66576,"PETROMAX, S.A. DE C.V."
2205,PL/874/EXP/ES/2015,-91.96599,-91.96599,15.8336,15.8336,"GRUPO LONOR, S.A. DE C.V.  E11919"
2206,PL/877/EXP/ES/2015,-101.6518,-101.6518,21.07652,21.07652,"ESTACION DE SERVICIO LEON, S.DER.L. DE C.V."
2207,PL/504/EXP/ES/2015,-104.2044,-104.2044,19.80471,19.80471,"GRUPO OCTANO, S.A. DE C.V."
2208,PL/416/EXP/ES/2015,-104.883,-104.883,21.49595,21.49595,"GRUPO OCTANO, S.A. DE C.V."
2209,PL/733/EXP/ES/2015,-110.2945,-110.2945,24.12212,24.12212,GASOLINERAS PABA SA DE CV
2210,PL/883/EXP/ES/2015,-103.3947,-103.3947,25.55813,25.55813,SERVICIO GASOL SA DE CV
2211,PL/542/EXP/ES/2015,-98.23244,-98.23244,26.02191,26.02191,"PETROMAX, S.A. DE C.V."
2212,PL/709/EXP/ES/2015,-117.0261,-117.0261,32.5229,32.5229,Becktrop Operadora SA de CV
2213,PL/722/EXP/ES/2015,-116.924,-116.924,32.49483,32.49483,"ESTACION AMBAR, S. DE R.L. DE C.V."
2214,PL/819/EXP/ES/2015,-99.00452,-99.00452,19.6214,19.6214,"Estación de Servicio Venta de Carpio, S.A. de C.V."
2215,PL/370/EXP/ES/2015,-109.0119,-109.0119,25.78968,25.78968,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V."
2216,PL/688/EXP/ES/2015,-110.314,-110.314,24.14254,24.14254,GASOLINERAS PABA SA DE CV
2217,PL/540/EXP/ES/2015,-100.4024,-100.4024,25.76277,25.76277,"PETROMAX, S.A. DE C.V."
2218,PL/765/EXP/ES/2015,-92.34282,-92.34282,14.91567,14.91567,ENERGETICOS Y SERVICIOS OCOZOCOAUTLA  SA DE CV
2219,PL/600/EXP/ES/2015,-100.253,-100.253,25.73068,25.73068,"PETROMAX, S.A. DE C.V."
2220,PL/633/EXP/ES/2015,-117.0852,-117.0852,32.52634,32.52634,APOYOS Y SUMIN.COMERCIALES E INDUST. S.A. DE C.V.
2221,PL/398/EXP/ES/2015,-115.3744,-115.3744,32.65948,32.65948,GRUPO EMPRESARIAL CACHANILLA SA DE CV
2222,PL/389/EXP/ES/2015,-115.4325,-115.4325,32.59562,32.59562,GRUPO EMPRESARIAL CACHANILLA SA DE CV
2223,PL/687/EXP/ES/2015,-116.8796,-116.8796,32.51322,32.51322,"ESTACION CUCAPAH, S.A. DE C.V."
2224,PL/603/EXP/ES/2015,-100.264,-100.264,25.82103,25.82103,"PETROMAX, S.A. DE C.V."
2225,PL/669/EXP/ES/2015,-116.9147,-116.9147,32.53901,32.53901,"ESTACION GRUGAS, S. DE R.L. DE C.V."
2226,PL/739/EXP/ES/2015,-90.63845,-90.63845,16.08285,16.08285,DISTRIBUIDORA DE COBUSTIBLES LAS CAÑADAS SA DE CV
2227,PL/741/EXP/ES/2015,-100.9835,-100.9835,25.48155,25.48155,"PETROMAX, S.A. DE C.V."
2228,PL/589/EXP/ES/2015,-100.3206,-100.3206,25.78637,25.78637,"PETROMAX, S.A. DE C.V."
2229,PL/643/EXP/ES/2015,-93.12914,-93.12914,17.90663,17.90663,PETRO SERVICIOS DEL SURESTE SA DE CV
2230,PL/716/EXP/ES/2015,-115.4722,-115.4722,32.65059,32.65059,Becktrop Operadora SA de CV
2231,PL/777/EXP/ES/2015,-93.38528,-93.38528,16.76469,16.76469,GASOLINERIA LAZARO CHANONA BORGES SA DE CV
2232,PL/547/EXP/ES/2015,-100.318,-100.318,25.77943,25.77943,"PETROMAX, S.A. DE C.V."
2233,PL/889/EXP/ES/2015,-86.89943,-86.89943,21.14857,21.14857,GASOLINERA NORPONIENTE S.A. DE C.V.
2234,PL/736/EXP/ES/2015,-90.65433,-90.65433,16.50013,16.50013,DISTRIBUIDORA DE COBUSTIBLES LAS CAÑADAS SA DE CV
2235,PL/598/EXP/ES/2015,-99.0914,-99.0914,19.6322,19.6322,"PETROMAX, S.A. DE C.V."
2236,PL/822/EXP/ES/2015,-99.19987,-99.19987,18.88947,18.88947,"Estación de Servicio Cantabria, S.A. de C.V."
2237,PL/424/EXP/ES/2015,-105.2634,-105.2634,21.0257,21.0257,"GRUPO OCTANO, S.A. DE C.V."
2238,PL/903/EXP/ES/2015,-108.4668,-108.4668,25.56817,25.56817,GASOLINERA GUASAVE SA DE CV
2239,PL/495/EXP/ES/2015,-98.29279,-98.29279,26.08957,26.08957,"PETROMAX, S.A. DE C.V."
2240,PL/403/EXP/ES/2015,-115.5797,-115.5797,32.58874,32.58874,GRUPO EMPRESARIAL CACHANILLA SA DE CV
2241,PL/391/EXP/ES/2015,-109.0046,-109.0046,25.79292,25.79292,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V."
2242,PL/671/EXP/ES/2015,-90.04852,-90.04852,20.3788,20.3788,"SERVICIO JARDINES, S.A. DE C.V. ( ES12369)"
2243,PL/828/EXP/ES/2015,-103.3658,-103.3658,20.65207,20.65207,Gasolinera Colon S.A. de C.V.
2244,PL/569/EXP/ES/2015,-100.3575,-100.3575,25.69688,25.69688,"PETROMAX, S.A. DE C.V."
2245,PL/363/EXP/ES/2015,-104.8595,-104.8595,21.47486,21.47486,"GRUPO OCTANO, S.A. DE C.V."
2246,PL/390/EXP/ES/2015,-108.9919,-108.9919,25.82133,25.82133,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V."
2247,PL/527/EXP/ES/2015,-100.9627,-100.9627,25.50189,25.50189,"PETROMAX, S.A. DE C.V."
2248,PL/791/EXP/ES/2015,-100.5463,-100.5463,28.70271,28.70271,OPERADORA LAS CRUCES SA DE CV
2249,PL/478/EXP/ES/2015,-106.1335,-106.1335,28.68869,28.68869,"PETROMAX, S.A. DE C.V."
2250,PL/830/EXP/ES/2015,-106.4936,-106.4936,31.72121,31.72121,GRUPO GOCALVI SA DE CV
2251,PL/726/EXP/ES/2015,-116.6503,-116.6503,32.56519,32.56519,Estacion El Encanto S.A. de C.V.
2252,PL/382/EXP/ES/2015,-115.483,-115.483,32.59637,32.59637,GRUPO EMPRESARIAL CACHANILLA SA DE CV
2253,PL/864/EXP/ES/2015,-99.07876,-99.07876,19.67295,19.67295,"Gasolinería Turquesa, S.A. de C.V."
2254,PL/381/EXP/ES/2015,-108.9903,-108.9903,25.76621,25.76621,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V."
2255,PL/469/EXP/ES/2015,-100.4128,-100.4128,25.76333,25.76333,"PETROMAX, S.A. DE C.V."
2256,PL/869/EXP/ES/2015,-116.8668,-116.8668,32.50251,32.50251,"ESTACION RAEL, S. DE R.L. DE C.V."
2257,PL/535/EXP/ES/2015,-105.3483,-105.3483,20.95066,20.95066,"GRUPO OCTANO, S.A. DE C.V."
2258,PL/376/EXP/ES/2015,-108.7157,-108.7157,25.70819,25.70819,MULTISERVICIOS LA PILARICA SA DE CV
