CVE_ENT,CVE_MUN,NOM_MUN,OID_1,CVEGEO,SELECTED,/place/@pl,/place/cre,/place/loc,/place/l_1,/place/l_2,/place/l_3,/place/nam,COUNT,id
12,28,Chilapa de Álvarez,20,12028,1,34201,PL/9964/EXP/ES/2015,,-297.516,52.7994,52.7994,COMBUSTIBLES Y REFINADOS JARDINES SA DE CV,3,11400
12,29,Chilpancingo de los Bravo,21,12029,1,223538,PL/1633/EXP/ES/2015,,-2089.4834,367.9359,367.9359,SERVICIO ALSO SA DE CV,21,10645
12,31,General Canuto A. Neri,22,12031,1,,,,,,,,0,0
12,32,General Heliodoro Castillo,23,12032,1,11727,PL/10337/EXP/ES/2015,,-99.9793,17.7783,17.7783,HECTOR EDUARDO CASTILLO GILES,1,11727
12,34,Huitzuco de los Figueroa,24,12034,1,30828,PL/2369/EXP/ES/2015,,-198.6545,36.5975,36.5975,PM ESTACIONES DE SERVICIO S.A. DE C.V.,2,15414
12,39,Juan R. Escudero,25,12039,1,13174,PL/10851/EXP/ES/2015,,-99.5308,17.167,17.167,ALCARAZ HERMANOS SA DE CV,1,13174
12,40,Leonardo Bravo,26,12040,1,28262,PL/12038/EXP/ES/2015,,-199.4924,35.3207,35.3207,ROBERTO CARRERA BRUNO,2,14131
12,42,Mártir de Cuilapan,27,12042,1,,,,,,,,0,0
12,44,Mochitlán,28,12044,1,,,,,,,,0,0
12,51,Quechultenango,29,12051,1,6034,PL/4469/EXP/ES/2015,,-99.2521,17.4188,17.4188,HIGINIO ARISTARCO PRUDENTE CORONA,1,6034
12,53,San Marcos,30,12053,1,24446,PL/4577/EXP/ES/2015,,-298.0113,50.3336,50.3336,"ESTACION DE SERVICIO SAN ANTONIO, S.A. DE C.V.",3,8149
12,56,Tecoanapa,31,12056,1,10139,PL/8869/EXP/ES/2015,,-99.255,16.9931,16.9931,ESTACION DE SERVICIO AYUTLA SA DE CV,1,10139
12,58,Teloloapan,32,12058,1,40603,PL/5080/EXP/ES/2015,,-399.4477,73.4655,73.4655,"GASOLINERIA HURTADO, S.A. DE C.V.",4,10151
12,59,Tepecoacuilco de Trujano,33,12059,1,18592,PL/8098/EXP/ES/2015,,-199.0118,36.4589,36.4589,ESTACION DE SERVICIO TRUJANO SA DE CV,2,9296
12,61,Tixtla de Guerrero,34,12061,1,17177,PL/6879/EXP/ES/2015,,-198.797,35.1463,35.1463,EDGARDO ASTUDILLO MORALES,2,8589
12,74,Zitlala,35,12074,1,,,,,,,,0,0
12,75,Eduardo Neri,36,12075,1,31241,PL/5339/EXP/ES/2015,,-199.0647,35.3224,35.3224,TRINIDAD ADAME ADAME,2,15621
12,35,Iguala de la Independencia,37,12035,1,168571,PL/4491/EXP/ES/2015,,-1492.9756,275.1208,275.1208,COMBUSTIBLES DEL SUR SA  DE CV,15,11238
12,21,Coyuca de Benítez,38,12021,1,28540,PL/4263/EXP/ES/2015,,-300.0745,50.9337,50.9337,"COMBUSTIBLES COYUCA, S.A. DE C.V.",3,9513
12,5,Alpoyeca,39,12005,1,,,,,,,,0,0
12,8,Atenango del Río,40,12008,1,9884,PL/8451/EXP/ES/2015,,-99.1162,18.1195,18.1195,"Gasolinera Tecorral, S.A. de C.V.",1,9884
12,9,Atlamajalcingo del Monte,41,12009,1,,,,,,,,0,0
12,10,Atlixtac,42,12010,1,,,,,,,,0,0
12,12,Ayutla de los Libres,43,12012,1,71511,PL/8438/EXP/ES/2015,,-396.4143,67.8502,67.8502,ESTACION DE SERVICIO AYUTLA SA DE CV,4,17878
12,13,Azoyú,44,12013,1,,,,,,,,0,0
12,18,Copala,45,12018,1,9862,PL/8424/EXP/ES/2015,,-98.9709,16.6034,16.6034,SERVICIO COPALA SA DE CV,1,9862
12,19,Copalillo,46,12019,1,,,,,,,,0,0
12,20,Copanatoyac,47,12020,1,,,,,,,,0,0
12,24,Cualác,48,12024,1,,,,,,,,0,0
12,25,Cuautepec,49,12025,1,,,,,,,,0,0
12,30,Florencio Villarreal,50,12030,1,32290,PL/4341/EXP/ES/2015,,-198.2631,33.4442,33.4442,"COMBUSTIBLES GASOSUR, S.A. DE C.V.",2,16145
12,33,Huamuxtitlán,51,12033,1,11424,PL/10032/EXP/ES/2015,,-98.5593,17.8055,17.8055,DANAE ALCESTES LAVINIA CORDOVA MORAN,1,11424
12,36,Igualapa,52,12036,1,8378,PL/6988/EXP/ES/2015,,-98.5002,16.6577,16.6577,MIRIAM RUBI VELASCO AMBROCIO,1,8378
12,41,Malinaltepec,53,12041,1,,,,,,,,0,0
12,45,Olinalá,54,12045,1,14914,PL/13113/EXP/ES/2016,,-98.7413,17.7702,17.7702,"Tlachichinolapa,s.a. de c.v.",1,14914
12,46,Ometepec,55,12046,1,78866,PL/6984/EXP/ES/2015,,-787.3539,133.5303,133.5303,MIRIAM RUBI VELASCO AMBROCIO,8,9858
12,52,San Luis Acatlán,56,12052,1,43936,PL/4261/EXP/ES/2015,,-296.3786,50.6186,50.6186,"SERVICIO CIMOGUA, S.A. DE C.V.",3,14645
12,63,Tlacoapa,57,12063,1,,,,,,,,0,0
12,66,Tlapa de Comonfort,58,12066,1,77878,PL/7895/EXP/ES/2015,,-591.5038,105.1384,105.1384,CARLOS RIVERA MEDEL,6,12980
12,69,Xalpatláhuac,59,12069,1,,,,,,,,0,0
12,70,Xochihuehuetlán,60,12070,1,4836,PL/5799/EXP/ES/2015,,-98.4945,17.9146,17.9146,ENERGETICOS Y SUMINISTROS DE SAN MARTIN SA DE CV,1,4836
12,71,Xochistlahuaca,61,12071,1,22878,PL/20294/EXP/ES/2017,,-98.2426,16.7822,16.7822,COMERCIALIZADORA SAN FRANCISCO DE ASIS SA DE CV,1,22878
12,72,Zapotitlán Tablas,62,12072,1,,,,,,,,0,0
12,76,Acatepec,63,12076,1,,,,,,,,0,0
12,77,Marquelia,64,12077,1,26917,PL/4574/EXP/ES/2015,,-296.4367,49.7651,49.7651,"ESTACION DE SERVICIO SAN ANTONIO, S.A. DE C.V.",3,8972
12,79,José Joaquin de Herrera,65,12079,1,,,,,,,,0,0
12,80,Juchitán,66,12080,1,9293,PL/8448/EXP/ES/2015,,-98.6436,16.6215,16.6215,COMERCIALIZADORA SAN FRANCISCO DE ASIS SA DE CV,1,9293
12,81,Iliatenco,67,12081,1,,,,,,,,0,0
12,23,Cuajinicuilapa,68,12023,1,25349,PL/4562/EXP/ES/2015,,-295.2617,49.4204,49.4204,"ESTACION DE SERVICIO SAN ANTONIO, S.A. DE C.V.",3,8450
12,62,Tlacoachistlahuaca,69,12062,1,,,,,,,,0,0
12,65,Tlalixtaquilla de Maldonado,70,12065,1,13473,PL/11321/EXP/ES/2015,,-98.3706,17.5844,17.5844,RUBEN CUELLAR SAAVEDRA,1,13473
12,4,Alcozauca de Guerrero,71,12004,1,,,,,,,,0,0
12,43,Metlatónoc,72,12043,1,,,,,,,,0,0
12,78,Cochoapa el Grande,73,12078,1,,,,,,,,0,0
12,2,Ahuacuotzingo,74,12002,1,,,,,,,,0,0
12,48,Petatlán,75,12048,1,26129,PL/10932/EXP/ES/2015,,-202.5525,35.0849,35.0849,IGNACIO GONZALEZ NAVARRETE,2,13065
12,3,Ajuchitlán del Progreso,76,12003,1,2928,PL/945/EXP/ES/2015,,-100.505,18.1617,18.1617,"SUPERSERVICIO AJUCHITLAN, S.A. DE C.V.",1,2928
12,7,Arcelia,77,12007,1,36289,PL/10150/EXP/ES/2015,,-300.8482,55.0122,55.0122,HUMBERTO FLORES JIMENEZ,3,12096
12,11,Atoyac de Álvarez,78,12011,1,70005,PL/6885/EXP/ES/2015,,-401.7376,68.7848,68.7848,"GASOLINERIA SERVICIO ATOYAC, S.A DE C.V.",4,17501
12,14,Benito Juárez,79,12014,1,,,,,,,,0,0
12,16,Coahuayutla de José María Izazaga,80,12016,1,8889,PL/7567/EXP/ES/2015,,-101.7366,18.3138,18.3138,RENE CORREA HUERTA,1,8889
12,27,Cutzamala de Pinzón,81,12027,1,57888,PL/12628/EXP/ES/2015,,-301.7652,55.5033,55.5033,SUPER SERVICIO CUTZAMALA SA DE CV,3,19296
12,54,San Miguel Totolapan,82,12054,1,13155,PL/10837/EXP/ES/2015,,-100.3963,18.1684,18.1684,"GASOLINERA RIO BALSAS, S.A. DE C.V.",1,13155
12,57,Técpan de Galeana,83,12057,1,103893,PL/8057/EXP/ES/2015,,-806.45,138.0761,138.0761,SERVICIO SADALA SA DE CV,8,12987
12,64,Tlalchapa,84,12064,1,7113,PL/4208/EXP/ES/2015,,-100.4917,18.4096,18.4096,MULTISERVICIOS HERNANDEZ S.A. DE C.V.,1,7113
12,67,Tlapehuala,85,12067,1,2692,PL/1402/EXP/ES/2015,,-100.536,18.2416,18.2416,GRUPO ENERGETICO NEPER S.A. DE C.V.,1,2692
12,22,Coyuca de Catalán,86,12022,1,6647,PL/4892/EXP/ES/2015,,-100.7009,18.3254,18.3254,MARIA NATIVIDAD JIMENEZ PEREZ,1,6647
12,73,Zirándaro,87,12073,1,2872,PL/948/EXP/ES/2015,,-100.9805,18.471,18.471,"SUPERSERVICIOS SAN AGUSTIN, S.A. DE C.V.",1,2872
12,68,La Unión de Isidoro Montes de Oca,88,12068,1,45871,PL/7941/EXP/ES/2015,,-407.8582,71.7254,71.7254,JOSE ALBERTO VALENCIA FIGUEROA,4,11468
12,37,Ixcateopan de Cuauhtémoc,89,12037,1,,,,,,,,0,0
12,47,Pedro Ascencio Alquisiras,90,12047,1,,,,,,,,0,0
12,49,Pilcaya,91,12049,1,,,,,,,,0,0
12,60,Tetipac,92,12060,1,,,,,,,,0,0
12,55,Taxco de Alarcón,93,12055,1,19629,PL/3594/EXP/ES/2015,,-298.8143,55.6792,55.6792,"Servicios Mexicanos de Turismo, S.A.",3,6543
12,15,Buenavista de Cuéllar,94,12015,1,4716,PL/5501/EXP/ES/2015,,-99.4222,18.4826,18.4826,EST. DE SERVICIO LOS PINITOS DE GUERRERO SA DE CV,1,4716
12,50,Pungarabato,95,12050,1,37377,PL/1393/EXP/ES/2015,,-503.3557,91.7092,91.7092,GENERAL DE COMBUSTIBLES GUERRERO S.A. DE C.V.,5,7475
12,38,Zihuatanejo de Azueta,96,12038,1,44901,PL/1411/EXP/ES/2015,,-914.0916,159.045,159.045,claudia sara rodriguez arista,9,4989
12,1,Acapulco de Juárez,97,12001,1,773975,PL/1453/EXP/ES/2015,,-7288.3399,1230.0676,1230.0676,Operadora de Estaciones de Servicio Acapulco,73,10602
15,82,Tejupilco,98,15082,1,25053,PL/5811/EXP/ES/2015,,-300.3909,56.7987,56.7987,Servicios Ecológicos Mar Caribe S.A. de C.V.,3,8351
15,104,Tlalnepantla de Baz,99,15104,1,474724,PL/868/EXP/ES/2015,,-5257.2057,1035.6541,1035.6541,"Servicio Sevilla, S.A. de C.V.",53,8957
15,75,San Martín de las Pirámides,100,15075,1,10574,PL/1414/EXP/ES/2015,,-197.6444,39.3953,39.3953,"SERVICIO SAN MARTIN TEOTIHUACAN, S.A. DE C.V.",2,5287
15,65,Otumba,101,15065,1,20054,PL/8981/EXP/ES/2015,,-197.5099,39.4037,39.4037,Gasolineras las Adelitas S.A. de C.V.,2,10027
15,44,Jaltenco,102,15044,1,10979,PL/3199/EXP/ES/2015,,-99.0691,19.6587,19.6587,"INMUEBLES VENTA DE CARPIO, S.A. DE C.V.",1,10979
15,49,Joquicingo,103,15049,1,23054,PL/8645/EXP/ES/2015,,-199.0701,38.1606,38.1606,ATZEL BELEN VALDEZ BARRERA,2,11527
15,4,Almoloya de Alquisiras,104,15004,1,11477,PL/5427/EXP/ES/2015,,-199.774,37.7557,37.7557,"CORPORATIVO AP, S.A. DE C.V.",2,5739
15,88,Tenancingo,105,15088,1,87542,PL/6143/EXP/ES/2015,,-796.698,151.7268,151.7268,Servicio Cupula SA de CV,8,10943
15,56,Morelos,106,15056,1,12860,PL/11948/EXP/ES/2015,,-99.6891,19.7514,19.7514,GAS SEQUOIA S.A. DE C.V.,1,12860
15,125,Tonanitla,107,15125,1,31090,PL/2068/EXP/ES/2015,,-198.1083,39.3592,39.3592,Servicio Ibiza SA de CV,2,15545
15,124,San José del Rincón,108,15124,1,57960,PL/1332/EXP/ES/2015,,-400.4693,78.5554,78.5554,GASOLINERA JALTEPEC S.A. DE C.V.,4,14490
15,123,Luvianos,109,15123,1,8185,PL/7071/EXP/ES/2015,,-100.29,18.9213,18.9213,EJIDO EL PROGRESO DE LUVIANOS,1,8185
15,122,Valle de Chalco Solidaridad,110,15122,1,327050,PL/1879/EXP/ES/2015,,-2275.729,443.8232,443.8232,SERVICIO GORM S.A. DE C.V.,23,14220
15,121,Cuautitlán Izcalli,111,15121,1,462114,PL/648/EXP/ES/2015,,-4166.788,825.4512,825.4512,"Gasolinería Ulises, S.A. de C.V.",42,11003
15,120,Zumpango,112,15120,1,269836,PL/647/EXP/ES/2015,,-1783.644,356.3684,356.3684,"Estación de Servicio la Rioja, S.A. de C.V.",18,14991
15,119,Zumpahuacán,113,15119,1,10680,PL/9684/EXP/ES/2015,,-99.6067,18.8697,18.8697,JAISERVICIO S.A DE C.V,1,10680
15,118,Zinacantepec,114,15118,1,234937,PL/1493/EXP/ES/2015,,-2094.4466,404.9256,404.9256,"RECAR SUPER SERVICIO, S.A. DE C.V.",21,11187
15,117,Zacualpan,115,15117,1,26050,PL/22420/EXP/ES/2019,,-99.7725,18.731,18.731,SERVICIO MABIAN S.A DE C.V,1,26050
15,116,Zacazonapan,116,15116,1,10107,PL/8875/EXP/ES/2015,,-100.2465,19.0665,19.0665,ANDRES CRUZ JARAMILLO,1,10107
15,115,Xonacatlán,117,15115,1,27130,PL/7633/EXP/ES/2015,,-298.5581,58.2167,58.2167,SERVICIO DARIS S.A. DE C.V.,3,9043
15,114,Villa Victoria,118,15114,1,64915,PL/7028/EXP/ES/2015,,-499.9491,97.126,97.126,Servicio Salgado e hijos S.A. de C.V.,5,12983
15,113,Villa Guerrero,119,15113,1,90148,PL/5286/EXP/ES/2015,,-697.6168,132.6405,132.6405,Servicio La Mesita S.A. DE C.V.,7,12878
15,112,Villa del Carbón,120,15112,1,11092,PL/5808/EXP/ES/2015,,-198.9431,39.4553,39.4553,Super Servicio Villa del Carbon S.A. de C.V.,2,5546
15,111,Villa de Allende,121,15111,1,36803,PL/5858/EXP/ES/2015,,-300.4358,58.1,58.1,"CORPORATIVO AP, S.A. DE C.V.",3,12268
15,110,Valle de Bravo,122,15110,1,36519,PL/2032/EXP/ES/2015,,-500.6477,95.9259,95.9259,"Servicio El Arco, S.A. de C.V.",5,7304
15,107,Tonatico,123,15107,1,15540,PL/5839/EXP/ES/2015,,-199.3389,37.6266,37.6266,"CORPORATIVO AP, S.A. DE C.V.",2,7770
15,106,Toluca,124,15106,1,1092933,PL/1478/EXP/ES/2015,,-9665.0393,1871.9104,1871.9104,"CARLOS BALLINA ESCARTIN E HIJOS, S.A. DE C.V.",97,11267
15,105,Tlatlaya,125,15105,1,33815,PL/10784/EXP/ES/2015,,-200.6281,37.1441,37.1441,VISTA AL PACIFICO S.A. DE C.V.,2,16908
15,103,Tlalmanalco,126,15103,1,17440,PL/1862/EXP/ES/2015,,-197.598,38.3703,38.3703,CAPRIGO S.A. DE C.V.,2,8720
15,102,Timilpan,127,15102,1,14620,PL/6069/EXP/ES/2015,,-199.4217,39.7567,39.7567,"NATALIA MARIA DEL CARMEN FLORES ARCINIEGA, S.A. DE C.V.",2,7310
15,101,Tianguistenco,128,15101,1,121828,PL/5812/EXP/ES/2015,,-795.7719,153.447,153.447,OPERADORA LUCENSE SA DE CV,8,15229
15,100,Tezoyuca,129,15100,1,51202,PL/6298/EXP/ES/2015,,-395.7089,78.3574,78.3574,Servicio Cupula SA de CV,4,12801
15,99,Texcoco,130,15099,1,206439,PL/1495/EXP/ES/2015,,-1878.7176,370.6868,370.6868,"LAS MEJORES ESTACIONES, S.A DE C.V",19,10865
15,98,Texcalyacac,131,15098,1,9673,PL/8636/EXP/ES/2015,,-99.4988,19.131,19.131,"SERVICIO MIGUEL ANGEL, S. A. DE C. V.",1,9673
15,97,Texcaltitlán,132,15097,1,5576,PL/5714/EXP/ES/2015,,-99.9418,18.9308,18.9308,SERVICIO MABIAN S.A DE C.V,1,5576
15,96,Tequixquiac,133,15096,1,63452,PL/2112/EXP/ES/2015,,-594.8422,119.3969,119.3969,"SERVICIO TX, S.A. DE C.V.",6,10575
15,95,Tepotzotlán,134,15095,1,152400,PL/1051/EXP/ES/2015,,-1389.1003,276.1316,276.1316,"Servicio Tepotzotlán, S.A. de C.V.",14,10886
15,94,Tepetlixpa,135,15094,1,3177,PL/2022/EXP/ES/2015,,-98.812,19.0316,19.0316,Gasolinera Tepetlixpa S.A. de C.V.,1,3177
15,93,Tepetlaoxtoc,136,15093,1,13848,PL/1610/EXP/ES/2015,,-197.625,39.1201,39.1201,SERVICIO PANORAMICO S.A. DE C.V.,2,6924
15,92,Teotihuacán,137,15092,1,34256,PL/4184/EXP/ES/2015,,-296.6051,59.0287,59.0287,"Servicio Idio Puerta, S.A. de C.V.",3,11419
15,91,Teoloyucan,138,15091,1,55359,PL/6932/EXP/ES/2015,,-396.7168,79.01,79.01,OPERADORA TEOLOYUCAN SA DE CV,4,13840
15,90,Tenango del Valle,139,15090,1,97008,PL/5979/EXP/ES/2015,,-597.4831,114.6074,114.6074,"CORPORATIVO AP, S.A. DE C.V.",6,16168
15,89,Tenango del Aire,140,15089,1,,,,,,,,0,0
15,87,Temoaya,141,15087,1,44262,PL/1972/EXP/ES/2015,,-398.4284,77.7243,77.7243,SERVICIO TEMOAYA S.A. DE C.V.,4,11066
15,86,Temascaltepec,142,15086,1,19142,PL/5993/EXP/ES/2015,,-199.9629,38.1982,38.1982,GRUPO CARAROD S. DE R.L.,2,9571
15,85,Temascalcingo,143,15085,1,15768,PL/1470/EXP/ES/2015,,-400.065,79.6433,79.6433,"SERVICIO SANTA MARIA CANCHESDA, S.A. DE C.V.",4,3942
15,84,Temascalapa,144,15084,1,32917,PL/7244/EXP/ES/2015,,-296.689,59.4673,59.4673,LUIS MAYORGA MILLAN,3,10972
15,83,Temamatla,145,15083,1,9682,PL/8339/EXP/ES/2015,,-98.8733,19.2028,19.2028,OTHON FELIPE CEJUDO ROMERO,1,9682
15,81,Tecámac,146,15081,1,596633,PL/826/EXP/ES/2015,,-3761.9305,748.3379,748.3379,"Estación de Servicio Sauvage, S.A. de C.V.",38,15701
15,80,Sultepec,147,15080,1,5735,PL/5722/EXP/ES/2015,,-99.9656,18.87,18.87,SERVICIO MABIAN S.A DE C.V,1,5735
15,79,Soyaniquilpan de Juárez,148,15079,1,31908,PL/2422/EXP/ES/2015,,-298.6552,60.0837,60.0837,"SOYAGAS, S.A. DE C.V.",3,10636
15,78,Santo Tomás,149,15078,1,,,,,,,,0,0
15,77,San Simón de Guerrero,150,15077,1,,,,,,,,0,0
15,76,San Mateo Atenco,151,15076,1,278669,PL/1350/EXP/ES/2015,,-1791.799,346.9373,346.9373,Servicio Nuestra Señora de Loreto  S.A. De C.V.,18,15482
15,74,San Felipe del Progreso,152,15074,1,132227,PL/1804/EXP/ES/2015,,-899.5425,177.0776,177.0776,SUPER SERVICIO GARDUÑO SA CE CV,9,14692
15,73,San Antonio la Isla,153,15073,1,,,,,,,,0,0
15,72,Rayón,154,15072,1,28616,PL/10785/EXP/ES/2015,,-199.1816,38.2806,38.2806,MARIA DEL CARMEN ELENA PLIEGO VILLANUEVA,2,14308
15,71,Polotitlán,155,15071,1,79892,PL/5235/EXP/ES/2015,,-499.2308,101.1274,101.1274,HILARIO ROBERTO MENDOZA GOMEZ,5,15978
15,70,La Paz,156,15070,1,152385,PL/1080/EXP/ES/2015,,-1682.4137,329.1602,329.1602,MARCOFAN SA DE CV,17,8964
15,69,Papalotla,157,15069,1,,,,,,,,0,0
15,68,Ozumba,158,15068,1,31159,PL/8582/EXP/ES/2015,,-197.5873,38.0935,38.0935,NACIONAL DE COMBUSTIBLES Y LUBRICANTES S.A. DE C.V,2,15580
15,67,Otzolotepec,159,15067,1,40634,PL/2831/EXP/ES/2015,,-298.6558,58.2637,58.2637,JESUS FERNANDO VARGAS ESPINOSA,3,13545
15,66,Otzoloapan,160,15066,1,,,,,,,,0,0
15,64,El Oro,161,15064,1,9605,PL/8376/EXP/ES/2015,,-100.1245,19.8071,19.8071,ALFREDO SALAZAR LOPEZ,1,9605
15,63,Ocuilan,162,15063,1,60032,PL/3566/EXP/ES/2015,,-496.9227,95.0633,95.0633,NACIONAL DE COMBUSTIBLES Y LUBRICANTES S.A. DE C.V,5,12006
15,62,Ocoyoacac,163,15062,1,101064,PL/1995/EXP/ES/2015,,-1094.1453,212.0799,212.0799,"ENCINOS GAS STATION GROUP, S.A. DE C.V.",11,9188
15,61,Nopaltepec,164,15061,1,,,,,,,,0,0
15,60,Nicolás Romero,165,15060,1,172448,PL/823/EXP/ES/2015,,-1787.7411,353.2085,353.2085,"Gasolinería Cid, S.A. de C.V.",18,9580
15,58,Nezahualcóyotl,166,15058,1,287562,PL/953/EXP/ES/2015,,-4356.8992,854.2036,854.2036,"Gasolinería Coacalco, S.A. de C.V.",44,6536
15,57,Naucalpan de Juárez,167,15057,1,246384,PL/435/EXP/ES/2015,,-2877.8542,564.8357,564.8357,"PETROMAX, S.A. DE C.V.",29,8496
15,55,Mexicaltzingo,168,15055,1,42699,PL/6390/EXP/ES/2015,,-298.7604,57.6331,57.6331,SERVICIO MAZACHULCO S.A. DE C.V.,3,14233
15,54,Metepec,169,15054,1,454183,PL/1765/EXP/ES/2015,,-3187.0336,616.2706,616.2706,SERVICIO VASA S.A. DE C.V.,32,14193
15,53,Melchor Ocampo,170,15053,1,65523,PL/630/EXP/ES/2015,,-495.7102,98.5514,98.5514,"Inmobiliaria Socor, S.A. de C.V.",5,13105
15,52,Malinalco,171,15052,1,13161,PL/10841/EXP/ES/2015,,-99.493,18.9479,18.9479,HUGO FACUNDO POBLETTE POBLETTE,1,13161
15,51,Lerma,172,15051,1,95805,PL/1492/EXP/ES/2015,,-1094.6907,212.4363,212.4363,"CARLOS BALLINA ESCARTIN E HIJOS, S.A. DE C.V.",11,8710
15,50,Juchitepec,173,15050,1,8076,PL/6523/EXP/ES/2015,,-98.8803,19.1148,19.1148,"FUERTE APACHE, S.A. DE C.V.",1,8076
15,48,Jocotitlán,174,15048,1,147392,PL/1968/EXP/ES/2015,,-898.2835,177.2461,177.2461,ESTACION DE SERVICIO JOCO SA DE CV,9,16377
15,47,Jiquipilco,175,15047,1,40237,PL/5444/EXP/ES/2015,,-398.5721,78.2926,78.2926,"CORPORATIVO AP, S.A. DE C.V.",4,10059
15,46,Jilotzingo,176,15046,1,10904,PL/2044/EXP/ES/2015,,-99.377,19.4982,19.4982,PM ESTACIONES DE SERVICIO S.A. DE C.V.,1,10904
15,45,Jilotepec,177,15045,1,165711,PL/2006/EXP/ES/2015,,-1393.8996,280.0503,280.0503,"SERVICIOS MODERNOS DE JILOTEPEC, S.A. DE C.V.",14,11837
15,43,Xalatlaco,178,15043,1,26126,PL/1834/EXP/ES/2015,,-298.3141,57.5358,57.5358,"SUPER SERVICIO VILLAMARES, S. A. DE C. V.",3,8709
15,42,Ixtlahuaca,179,15042,1,81126,PL/1334/EXP/ES/2015,,-897.8874,176.0801,176.0801,COMBUSTIBLES ANTES Y DESPUES S.A. DE C.V.,9,9014
15,41,Ixtapan del Oro,180,15041,1,,,,,,,,0,0
15,40,Ixtapan de la Sal,181,15040,1,33873,PL/5452/EXP/ES/2015,,-299.0889,56.512,56.512,ORVI COMBUSTIBLES S.A DE C.V,3,11291
15,39,Ixtapaluca,182,15039,1,276360,PL/1736/EXP/ES/2015,,-2471.8797,482.8531,482.8531,"Servicio Santa Barbara, S.A. de C.V.",25,11054
15,38,Isidro Fabela,183,15038,1,,,,,,,,0,0
15,37,Huixquilucan,184,15037,1,199589,PL/625/EXP/ES/2015,,-1886.4767,368.6295,368.6295,"Fuente de Carga Frigga, S.A. de C.V.",19,10505
15,36,Hueypoxtla,185,15036,1,41383,PL/7278/EXP/ES/2015,,-297.1633,59.7491,59.7491,CENTRO GASOLINERO HUEYPOXTLA S.A. DE C.V.,3,13794
15,35,Huehuetoca,186,15035,1,85346,PL/2523/EXP/ES/2015,,-893.2037,178.5066,178.5066,GRUPO JIMMEX S.A. DE C.V.,9,9483
15,34,Ecatzingo,187,15034,1,,,,,,,,0,0
